"week","borough","ridership"
2025-03-09,"Manhattan",1825990
2025-03-09,"Queens",1053389
2025-03-16,"Bronx",578899
2025-03-16,"Brooklyn",1627100
2025-03-16,"Manhattan",1820441
2025-03-16,"Queens",1048196
2025-03-23,"Bronx",577968
2025-03-23,"Brooklyn",1621748
2025-03-23,"Manhattan",1802529
2025-03-23,"Queens",1037624
2025-03-30,"Bronx",560550
2025-03-30,"Brooklyn",1596431
2025-03-30,"Manhattan",1791873
2025-03-30,"Queens",1017499
2025-04-06,"Bronx",580976
2025-04-06,"Brooklyn",1636448
2025-04-06,"Manhattan",1852638
2025-04-06,"Queens",1038974
2025-04-13,"Bronx",461825
2025-04-13,"Brooklyn",1361674
2025-04-13,"Manhattan",1712906
2025-04-13,"Queens",904829
2025-04-20,"Bronx",567812
2025-04-20,"Brooklyn",1630939
2025-04-20,"Manhattan",1832164
2025-04-20,"Queens",1023488
2025-04-27,"Bronx",580156
2025-04-27,"Brooklyn",1647484
2025-04-27,"Manhattan",1834014
2025-04-27,"Queens",1028772
2025-05-04,"Bronx",574548
2025-05-04,"Brooklyn",1632717
2025-05-04,"Manhattan",1802537
2025-05-04,"Queens",1010587
2025-05-11,"Bronx",574883
2025-05-11,"Brooklyn",1627095
2025-05-11,"Manhattan",1773867
2025-05-11,"Queens",1008697
2025-05-18,"Bronx",552002
2025-05-18,"Brooklyn",1607396
2025-05-18,"Manhattan",1754896
2025-05-18,"Queens",996079
2025-05-25,"Bronx",488095
2025-05-25,"Brooklyn",1406394
2025-05-25,"Manhattan",1583066
2025-05-25,"Queens",887624
2025-06-01,"Bronx",540062
2025-06-01,"Brooklyn",1553490
2025-06-01,"Manhattan",1720144
2025-06-01,"Queens",960334
2025-06-08,"Bronx",549781
2025-06-08,"Brooklyn",1570477
2025-06-08,"Manhattan",1755980
2025-06-08,"Queens",963711
2025-06-15,"Bronx",497297
2025-06-15,"Brooklyn",1428415
2025-06-15,"Manhattan",1631697
2025-06-15,"Queens",910483
2025-06-22,"Bronx",490136
2025-06-22,"Brooklyn",1440966
2025-06-22,"Manhattan",1628818
2025-06-22,"Queens",884415
2025-06-29,"Bronx",412844
2025-06-29,"Brooklyn",1204102
2025-06-29,"Manhattan",1434183
2025-06-29,"Queens",771119
2025-07-06,"Bronx",495233
2025-07-06,"Brooklyn",1388189
2025-07-06,"Manhattan",1588966
2025-07-06,"Queens",874733
2025-07-13,"Bronx",500165
2025-07-13,"Brooklyn",1410075
2025-07-13,"Manhattan",1617357
2025-07-13,"Queens",878278
2025-07-20,"Bronx",501451
2025-07-20,"Brooklyn",1412494
2025-07-20,"Manhattan",1610387
2025-07-20,"Queens",873625
2025-07-27,"Bronx",490708
2025-07-27,"Brooklyn",1373562
2025-07-27,"Manhattan",1577441
2025-07-27,"Queens",850090
2025-08-03,"Bronx",492019
2025-08-03,"Brooklyn",1369260
2025-08-03,"Manhattan",1573026
2025-08-03,"Queens",856936
2025-08-10,"Bronx",475342
2025-08-10,"Brooklyn",1343814
2025-08-10,"Manhattan",1548446
2025-08-10,"Queens",832173
2025-08-17,"Bronx",456276
2025-08-17,"Brooklyn",1305930
2025-08-17,"Manhattan",1508452
2025-08-17,"Queens",809560
2025-08-24,"Bronx",487444
2025-08-24,"Brooklyn",1351830
2025-08-24,"Manhattan",1540420
2025-08-24,"Queens",825653
2025-08-31,"Bronx",460231
2025-08-31,"Brooklyn",1288717
2025-08-31,"Manhattan",1435974
2025-08-31,"Queens",748122
2025-09-07,"Bronx",595362
2025-09-07,"Brooklyn",1616772
2025-09-07,"Manhattan",1699106
2025-09-07,"Queens",911088
2025-09-14,"Bronx",605616
2025-09-14,"Brooklyn",1634194
2025-09-14,"Manhattan",1694632
2025-09-14,"Queens",921093
2025-09-21,"Bronx",543632
2025-09-21,"Brooklyn",1492869
2025-09-21,"Manhattan",1621253
2025-09-21,"Queens",860968
2025-09-28,"Bronx",574212
2025-09-28,"Brooklyn",1543284
2025-09-28,"Manhattan",1644269
2025-09-28,"Queens",873714
2025-10-05,"Bronx",582750
2025-10-05,"Brooklyn",1560081
2025-10-05,"Manhattan",1661633
