"date","borough","coords_cbd","ridership"
2024-06-01,"Bronx",FALSE,140211
2024-06-01,"Brooklyn",FALSE,NA
2024-06-01,"Brooklyn",TRUE,20848
2024-06-01,"Manhattan",FALSE,NA
2024-06-01,"Manhattan",TRUE,NA
2024-06-01,"Queens",FALSE,NA
2024-06-02,"Bronx",FALSE,107377
2024-06-02,"Brooklyn",FALSE,NA
2024-06-02,"Brooklyn",TRUE,16680
2024-06-02,"Manhattan",FALSE,NA
2024-06-02,"Manhattan",TRUE,NA
2024-06-02,"Queens",FALSE,NA
2024-06-03,"Bronx",FALSE,219735
2024-06-03,"Brooklyn",FALSE,NA
2024-06-03,"Brooklyn",TRUE,19945
2024-06-03,"Manhattan",FALSE,NA
2024-06-03,"Manhattan",TRUE,NA
2024-06-03,"Queens",FALSE,NA
2024-06-04,"Bronx",FALSE,NA
2024-06-04,"Brooklyn",FALSE,NA
2024-06-04,"Brooklyn",TRUE,NA
2024-06-04,"Manhattan",FALSE,NA
2024-06-04,"Manhattan",TRUE,NA
2024-06-04,"Queens",FALSE,NA
2024-06-05,"Bronx",FALSE,NA
2024-06-05,"Brooklyn",FALSE,NA
2024-06-05,"Brooklyn",TRUE,NA
2024-06-05,"Manhattan",FALSE,NA
2024-06-05,"Manhattan",TRUE,NA
2024-06-05,"Queens",FALSE,NA
2024-06-06,"Bronx",FALSE,NA
2024-06-06,"Brooklyn",FALSE,NA
2024-06-06,"Brooklyn",TRUE,21524
2024-06-06,"Manhattan",FALSE,NA
2024-06-06,"Manhattan",TRUE,NA
2024-06-06,"Queens",FALSE,NA
2024-06-07,"Bronx",FALSE,NA
2024-06-07,"Brooklyn",FALSE,NA
2024-06-07,"Brooklyn",TRUE,22216
2024-06-07,"Manhattan",FALSE,NA
2024-06-07,"Manhattan",TRUE,NA
2024-06-07,"Queens",FALSE,NA
2024-06-08,"Bronx",FALSE,NA
2024-06-08,"Brooklyn",FALSE,NA
2024-06-08,"Brooklyn",TRUE,22145
2024-06-08,"Manhattan",FALSE,NA
2024-06-08,"Manhattan",TRUE,NA
2024-06-08,"Queens",FALSE,NA
2024-06-09,"Bronx",FALSE,NA
2024-06-09,"Brooklyn",FALSE,NA
2024-06-09,"Brooklyn",TRUE,16924
2024-06-09,"Manhattan",FALSE,NA
2024-06-09,"Manhattan",TRUE,NA
2024-06-09,"Queens",FALSE,NA
2024-06-10,"Bronx",FALSE,223122
2024-06-10,"Brooklyn",FALSE,NA
2024-06-10,"Brooklyn",TRUE,21386
2024-06-10,"Manhattan",FALSE,NA
2024-06-10,"Manhattan",TRUE,NA
2024-06-10,"Queens",FALSE,NA
2024-06-11,"Bronx",FALSE,227745
2024-06-11,"Brooklyn",FALSE,NA
2024-06-11,"Brooklyn",TRUE,NA
2024-06-11,"Manhattan",FALSE,NA
2024-06-11,"Manhattan",TRUE,NA
2024-06-11,"Queens",FALSE,NA
2024-06-12,"Bronx",FALSE,225459
2024-06-12,"Brooklyn",FALSE,NA
2024-06-12,"Brooklyn",TRUE,NA
2024-06-12,"Manhattan",FALSE,NA
2024-06-12,"Manhattan",TRUE,NA
2024-06-12,"Queens",FALSE,NA
2024-06-13,"Bronx",FALSE,226780
2024-06-13,"Brooklyn",FALSE,NA
2024-06-13,"Brooklyn",TRUE,NA
2024-06-13,"Manhattan",FALSE,NA
2024-06-13,"Manhattan",TRUE,NA
2024-06-13,"Queens",FALSE,NA
2024-06-14,"Bronx",FALSE,NA
2024-06-14,"Brooklyn",FALSE,NA
2024-06-14,"Brooklyn",TRUE,20284
2024-06-14,"Manhattan",FALSE,NA
2024-06-14,"Manhattan",TRUE,NA
2024-06-14,"Queens",FALSE,NA
2024-06-15,"Bronx",FALSE,133191
2024-06-15,"Brooklyn",FALSE,NA
2024-06-15,"Brooklyn",TRUE,21423
2024-06-15,"Manhattan",FALSE,NA
2024-06-15,"Manhattan",TRUE,NA
2024-06-15,"Queens",FALSE,NA
2024-06-16,"Bronx",FALSE,101392
2024-06-16,"Brooklyn",FALSE,NA
2024-06-16,"Brooklyn",TRUE,17961
2024-06-16,"Manhattan",FALSE,NA
2024-06-16,"Manhattan",TRUE,NA
2024-06-16,"Queens",FALSE,NA
2024-06-17,"Bronx",FALSE,203191
2024-06-17,"Brooklyn",FALSE,NA
