"week","borough","ridership"
2025-03-16,"Bronx",227607
2025-03-16,"Brooklyn",510277
2025-03-16,"Manhattan",658762
2025-03-16,"Queens",418471
2025-03-23,"Bronx",224239
2025-03-23,"Brooklyn",504500
2025-03-23,"Manhattan",652744
2025-03-23,"Queens",412510
2025-03-30,"Bronx",219453
2025-03-30,"Brooklyn",490728
2025-03-30,"Manhattan",635166
2025-03-30,"Queens",403166
2025-04-06,"Bronx",222424
2025-04-06,"Brooklyn",493769
2025-04-06,"Manhattan",659197
2025-04-06,"Queens",401643
2025-04-13,"Bronx",197424
2025-04-13,"Brooklyn",435316
2025-04-13,"Manhattan",619356
2025-04-13,"Queens",359200
2025-04-20,"Bronx",214065
2025-04-20,"Brooklyn",476966
2025-04-20,"Manhattan",627410
2025-04-20,"Queens",393293
2025-04-27,"Bronx",215184
2025-04-27,"Brooklyn",478146
2025-04-27,"Manhattan",617008
2025-04-27,"Queens",386036
2025-05-04,"Bronx",211406
2025-05-04,"Brooklyn",464890
2025-05-04,"Manhattan",587868
2025-05-04,"Queens",369291
2025-05-11,"Bronx",213257
2025-05-11,"Brooklyn",460565
2025-05-11,"Manhattan",564619
2025-05-11,"Queens",360662
2025-05-18,"Bronx",207083
2025-05-18,"Brooklyn",455428
2025-05-18,"Manhattan",558487
2025-05-18,"Queens",351352
2025-05-25,"Bronx",183251
2025-05-25,"Brooklyn",398691
2025-05-25,"Manhattan",504934
2025-05-25,"Queens",311218
2025-06-01,"Bronx",199632
2025-06-01,"Brooklyn",426699
2025-06-01,"Manhattan",539812
2025-06-01,"Queens",331970
2025-06-08,"Bronx",201315
2025-06-08,"Brooklyn",415949
2025-06-08,"Manhattan",545847
2025-06-08,"Queens",331482
2025-06-15,"Bronx",188827
2025-06-15,"Brooklyn",371010
2025-06-15,"Manhattan",508039
2025-06-15,"Queens",308620
2025-06-22,"Bronx",185518
2025-06-22,"Brooklyn",361009
2025-06-22,"Manhattan",498233
2025-06-22,"Queens",303896
2025-06-29,"Bronx",374635
2025-06-29,"Brooklyn",1039328
2025-06-29,"Manhattan",1244800
2025-06-29,"Queens",677554
2025-07-06,"Bronx",514828
2025-07-06,"Brooklyn",1430154
2025-07-06,"Manhattan",1622081
2025-07-06,"Queens",894145
2025-07-13,"Bronx",518833
2025-07-13,"Brooklyn",1452467
2025-07-13,"Manhattan",1651889
2025-07-13,"Queens",897285
2025-07-20,"Bronx",521097
2025-07-20,"Brooklyn",1454244
2025-07-20,"Manhattan",1643675
2025-07-20,"Queens",892797
2025-07-27,"Bronx",510716
2025-07-27,"Brooklyn",1414080
2025-07-27,"Manhattan",1611460
2025-07-27,"Queens",868811
2025-08-03,"Bronx",511942
2025-08-03,"Brooklyn",1410676
2025-08-03,"Manhattan",1606662
2025-08-03,"Queens",874280
2025-08-10,"Bronx",496100
2025-08-10,"Brooklyn",1385327
2025-08-10,"Manhattan",1582685
2025-08-10,"Queens",850498
2025-08-17,"Bronx",479095
2025-08-17,"Brooklyn",1347308
2025-08-17,"Manhattan",1543398
2025-08-17,"Queens",827855
2025-08-24,"Bronx",507856
2025-08-24,"Brooklyn",1391937
2025-08-24,"Manhattan",1574404
2025-08-24,"Queens",844522
2025-08-31,"Bronx",479382
2025-08-31,"Brooklyn",1323511
2025-08-31,"Manhattan",1463216
2025-08-31,"Queens",763270
2025-09-07,"Bronx",616320
2025-09-07,"Brooklyn",1655370
2025-09-07,"Manhattan",1729263
2025-09-07,"Queens",929952
2025-09-14,"Bronx",626408
2025-09-14,"Brooklyn",1671048
2025-09-14,"Manhattan",1725970
2025-09-14,"Queens",939460
2025-09-21,"Bronx",563215
2025-09-21,"Brooklyn",1526924
2025-09-21,"Manhattan",1652390
2025-09-21,"Queens",879151
2025-09-28,"Bronx",591922
2025-09-28,"Brooklyn",1576276
2025-09-28,"Manhattan",1673124
2025-09-28,"Queens",890849
2025-10-05,"Bronx",599926
2025-10-05,"Brooklyn",1592022
2025-10-05,"Manhattan",1690200
2025-10-05,"Queens",902971
2025-10-12,"Bronx",548061
2025-10-12,"Brooklyn",1492036
2025-10-12,"Manhattan",1626322
2025-10-12,"Queens",859919
2025-10-19,"Bronx",593302
2025-10-19,"Brooklyn",1600682
2025-10-19,"Manhattan",1696614
2025-10-19,"Queens",892936
2025-10-26,"Bronx",608143
2025-10-26,"Brooklyn",1635600
2025-10-26,"Manhattan",1707318
2025-10-26,"Queens",898028
2025-11-02,"Bronx",589100
2025-11-02,"Brooklyn",1591322
2025-11-02,"Manhattan",1658152
2025-11-02,"Queens",875195
2025-11-09,"Bronx",578329
2025-11-09,"Brooklyn",1575886
2025-11-09,"Manhattan",1627591
2025-11-09,"Queens",862042
2025-11-16,"Bronx",607707
2025-11-16,"Brooklyn",1639209
2025-11-16,"Manhattan",1636891
2025-11-16,"Queens",875065
2025-11-23,"Bronx",450641
2025-11-23,"Brooklyn",1229779
2025-11-23,"Manhattan",1323434
2025-11-23,"Queens",734043
2025-11-30,"Bronx",602588
2025-11-30,"Brooklyn",1613957
2025-11-30,"Manhattan",1588777
2025-11-30,"Queens",861596
