"","date","ridership","min_temp","snow","snow_d","rain"
"149",2024-10-27,913,45,0,0,0
"150",2024-10-28,3133,43,0,0,0
"151",2024-10-29,3296,51,0,0,0.01
"152",2024-10-30,3331,56,0,0,0
"153",2024-10-31,3250,57,0,0,0
"154",2024-11-01,2767,57,0,0,0
"155",2024-11-02,1412,46,0,0,0
"156",2024-11-03,1002,40,0,0,0
"157",2024-11-04,3172,39,0,0,0
"158",2024-11-05,2565,53,0,0,0
"159",2024-11-06,3318,61,0,0,0
"160",2024-11-07,3356,54,0,0,0
"161",2024-11-08,3154,48,0,0,0
"162",2024-11-09,1325,43,0,0,0
"163",2024-11-10,1030,38,0,0,0.03
"164",2024-11-11,2130,58,0,0,0.1
"165",2024-11-12,3363,42,0,0,0
"166",2024-11-13,3184,37,0,0,0
"167",2024-11-14,3140,34,0,0,0
"168",2024-11-15,3108,41,0,0,0
"169",2024-11-16,1215,44,0,0,0
"170",2024-11-17,892,44,0,0,0
"171",2024-11-18,3106,48,0,0,0
"172",2024-11-19,3416,46,0,0,0
"173",2024-11-20,3353,52,0,0,0
"174",2024-11-21,3113,40,0,0,1.42
"175",2024-11-22,2884,38,0,0,0.28
"176",2024-11-23,1377,37,0,0,0.01
"177",2024-11-24,1006,46,0,0,0
"178",2024-11-25,3147,42,0,0,0
"179",2024-11-26,3099,46,0,0,0.35
"180",2024-11-27,3010,41,0,0,0
"181",2024-11-28,623,43,0,0,0.95
"182",2024-11-29,1724,36,0,0,0
"183",2024-11-30,1165,32,0,0,0
"184",2024-12-01,856,29,0,0,0
"185",2024-12-02,2967,30,0,0,0
"186",2024-12-03,3173,32,0,0,0
"187",2024-12-04,3354,29,0,0,0.02
"188",2024-12-05,3162,32,0,0,0.21
"189",2024-12-06,2994,31,0,0,0
"190",2024-12-07,1364,33,0,0,0
"191",2024-12-08,935,38,0,0,0
"192",2024-12-09,2856,35,0,0,0.16
"193",2024-12-10,3162,45,0,0,0.13
"194",2024-12-11,3060,43,0,0,0.88
"195",2024-12-12,3177,31,0,0,0
"196",2024-12-13,3007,27,0,0,0
"197",2024-12-14,1320,25,0,0,0
"198",2024-12-15,940,26,0,0,0.01
"199",2024-12-16,2888,39,0,0,0.99
"200",2024-12-17,3294,44,0,0,0.08
"201",2024-12-18,3187,37,0,0,0.18
"202",2024-12-19,3191,38,0,0,0.04
"203",2024-12-20,3058,35,0,0,0.05
"204",2024-12-21,1232,21,2.5,2,0.12
"205",2024-12-22,947,15,0,0,0
"206",2024-12-23,2165,12,0,0,0
"207",2024-12-24,1654,31,0.5,0,0.04
"208",2024-12-25,487,29,0,0,0
"209",2024-12-26,2037,25,0,0,0
"210",2024-12-27,2138,26,0,0,0
"211",2024-12-28,1125,41,0,0,0.65
"212",2024-12-29,939,49,0,0,0.22
"213",2024-12-30,2245,45,0,0,0.28
"214",2024-12-31,1779,38,0,0,0.38
"215",2025-01-01,705,41,0,0,0
"216",2025-01-02,2361,35,0,0,0
"217",2025-01-03,2239,33,0,0,0
"218",2025-01-04,1130,30,0,0,0
"219",2025-01-05,804,29,0,0,0
"220",2025-01-06,2803,24,0.5,0,0.06
"221",2025-01-07,3019,20,0,0,0
"222",2025-01-08,3028,24,0,0,0
"223",2025-01-09,2995,24,0,0,0
"224",2025-01-10,2942,29,0,0,0
"225",2025-01-11,1222,30,0.4,0,0.03
"226",2025-01-12,1007,31,0,0,0
"227",2025-01-13,2995,30,0,0,0
"228",2025-01-14,3204,28,0,0,0
"229",2025-01-15,3113,25,0,0,0
"230",2025-01-16,3139,25,0,0,0
"231",2025-01-17,2864,27,0,0,0
"232",2025-01-18,1119,35,0,0,0.17
"233",2025-01-19,737,29,1.6,0,0.24
"234",2025-01-20,1314,19,0,2,0
"235",2025-01-21,2718,14,0,1.2,0
"236",2025-01-22,2866,13,0,1.2,0
"237",2025-01-23,2905,16,0,1.2,0
"238",2025-01-24,2769,20,0,1.2,0
"239",2025-01-25,1177,18,0,1.2,0
"240",2025-01-26,875,29,0,0,0
"241",2025-01-27,2880,29,0,0,0
"242",2025-01-28,3214,30,0,0,0
"243",2025-01-29,2787,34,0,0,0
"244",2025-01-30,3095,26,0,0,0
"245",2025-01-31,2851,40,0,0,0.15
"246",2025-02-01,5,23,0,0,0.01
"247",2025-02-02,6,19,0,0,0.09
"248",2025-02-03,2957,32,0,0,0
"249",2025-02-04,3267,33,0,0,0
"250",2025-02-05,3193,29,0,0,0
"251",2025-02-06,3000,33,0.2,0,0.25
"252",2025-02-07,2980,31,0,0,0
"253",2025-02-08,1239,27,3.3,0,0.67
"254",2025-02-09,772,34,0.1,3.1,0.05
"255",2025-02-10,2954,30,0,1.2,0
"256",2025-02-11,3240,26,1.3,1.2,0.14
"257",2025-02-12,3078,33,0.5,3.1,0.13
"258",2025-02-13,3119,38,0,2,0.2
"259",2025-02-14,2985,32,0,0,0
"260",2025-02-15,1020,28,1,0,0.53
"261",2025-02-16,675,36,0,0,1.1
"262",2025-02-17,1452,29,0,0,0
"263",2025-02-18,2485,22,0,0,0
"264",2025-02-19,2498,20,0,0,0
"265",2025-02-20,2585,20,0.1,0,0
"266",2025-02-21,2343,24,0,0,0
"267",2025-02-22,3,23,0,0,0
"268",2025-02-23,4,33,0,0,0
"269",2025-02-24,2923,33,0,0,0
"270",2025-02-25,3180,39,0,0,0
"271",2025-02-26,3134,39,0,0,0
"272",2025-02-27,3094,44,0,0,0
"273",2025-02-28,3028,42,0,0,0
"274",2025-03-01,4,30,0,0,0
"275",2025-03-02,3,23,0,0,0
"276",2025-03-03,3015,24,0,0,0
