"date","borough","ridership"
2024-08-08,"Brooklyn",256428
2024-08-08,"Manhattan",320654
2024-08-08,"Queens",175542
2024-08-09,"Bronx",72111
2024-08-09,"Brooklyn",212501
2024-08-09,"Manhattan",280579
2024-08-09,"Queens",158999
2024-08-12,"Bronx",76698
2024-08-12,"Brooklyn",236643
2024-08-12,"Manhattan",296679
2024-08-12,"Queens",167973
2024-08-13,"Bronx",81259
2024-08-13,"Brooklyn",261668
2024-08-13,"Manhattan",314489
2024-08-13,"Queens",174847
2024-08-14,"Bronx",81541
2024-08-14,"Brooklyn",265728
2024-08-14,"Manhattan",318625
2024-08-14,"Queens",178378
2024-08-15,"Bronx",80054
2024-08-15,"Brooklyn",257603
2024-08-15,"Manhattan",314826
2024-08-15,"Queens",173585
2024-08-16,"Bronx",72570
2024-08-16,"Brooklyn",212834
2024-08-16,"Manhattan",275811
2024-08-16,"Queens",159336
2024-08-19,"Bronx",73011
2024-08-19,"Brooklyn",235768
2024-08-19,"Manhattan",290648
2024-08-19,"Queens",165384
2024-08-20,"Bronx",79676
2024-08-20,"Brooklyn",255129
2024-08-20,"Manhattan",310073
2024-08-20,"Queens",174193
2024-08-21,"Bronx",80304
2024-08-21,"Brooklyn",257677
2024-08-21,"Manhattan",311693
2024-08-21,"Queens",175984
2024-08-22,"Bronx",78172
2024-08-22,"Brooklyn",251559
2024-08-22,"Manhattan",308426
2024-08-22,"Queens",170269
2024-08-23,"Bronx",72843
2024-08-23,"Brooklyn",212793
2024-08-23,"Manhattan",279225
2024-08-23,"Queens",159558
2024-08-26,"Bronx",74875
2024-08-26,"Brooklyn",232451
2024-08-26,"Manhattan",298759
2024-08-26,"Queens",164389
2024-08-27,"Bronx",79603
2024-08-27,"Brooklyn",261411
2024-08-27,"Manhattan",317934
2024-08-27,"Queens",174556
2024-08-28,"Bronx",84173
2024-08-28,"Brooklyn",269301
2024-08-28,"Manhattan",320846
2024-08-28,"Queens",179441
2024-08-29,"Bronx",82322
2024-08-29,"Brooklyn",258860
2024-08-29,"Manhattan",312087
2024-08-29,"Queens",173263
2024-08-30,"Bronx",74735
2024-08-30,"Brooklyn",214609
2024-08-30,"Manhattan",279378
2024-08-30,"Queens",158793
2024-09-02,"Bronx",37014
2024-09-02,"Brooklyn",111193
2024-09-02,"Manhattan",167038
2024-09-02,"Queens",84100
2024-09-03,"Bronx",89775
2024-09-03,"Brooklyn",280007
2024-09-03,"Manhattan",324442
2024-09-03,"Queens",177270
2024-09-04,"Bronx",93915
2024-09-04,"Brooklyn",294236
2024-09-04,"Manhattan",337407
2024-09-04,"Queens",190373
2024-09-05,"Bronx",97763
2024-09-05,"Brooklyn",309731
2024-09-05,"Manhattan",351130
2024-09-05,"Queens",193647
2024-09-06,"Bronx",96922
2024-09-06,"Brooklyn",287191
2024-09-06,"Manhattan",337822
2024-09-06,"Queens",192757
2024-09-09,"Bronx",104644
2024-09-09,"Brooklyn",313138
2024-09-09,"Manhattan",346631
2024-09-09,"Queens",203164
2024-09-10,"Bronx",111167
2024-09-10,"Brooklyn",338020
2024-09-10,"Manhattan",363339
2024-09-10,"Queens",210822
2024-09-11,"Bronx",111097
2024-09-11,"Brooklyn",343550
2024-09-11,"Manhattan",366242
2024-09-11,"Queens",215232
2024-09-12,"Bronx",111602
2024-09-12,"Brooklyn",336998
2024-09-12,"Manhattan",367022
2024-09-12,"Queens",208806
2024-09-13,"Bronx",103137
2024-09-13,"Brooklyn",296659
2024-09-13,"Manhattan",342718
2024-09-13,"Queens",196754
2024-09-16,"Bronx",109576
2024-09-16,"Brooklyn",320410
2024-09-16,"Manhattan",349436
2024-09-16,"Queens",203443
2024-09-17,"Bronx",113863
2024-09-17,"Brooklyn",340188
2024-09-17,"Manhattan",367230
2024-09-17,"Queens",213261
2024-09-18,"Bronx",114800
2024-09-18,"Brooklyn",339389
2024-09-18,"Manhattan",366323
2024-09-18,"Queens",216039
2024-09-19,"Bronx",115216
2024-09-19,"Brooklyn",337375
2024-09-19,"Manhattan",372316
2024-09-19,"Queens",212318
2024-09-20,"Bronx",105272
2024-09-20,"Brooklyn",298887
2024-09-20,"Manhattan",340359
2024-09-20,"Queens",199891
2024-09-23,"Bronx",110128
2024-09-23,"Brooklyn",322644
2024-09-23,"Manhattan",353108
2024-09-23,"Queens",207962
2024-09-24,"Bronx",115057
2024-09-24,"Brooklyn",343118
2024-09-24,"Manhattan",374895
2024-09-24,"Queens",215580
2024-09-25,"Bronx",117751
2024-09-25,"Brooklyn",344186
2024-09-25,"Manhattan",375107
2024-09-25,"Queens",216564
2024-09-26,"Bronx",113538
2024-09-26,"Brooklyn",340653
2024-09-26,"Manhattan",378177
2024-09-26,"Queens",212486
2024-09-27,"Bronx",105573
2024-09-27,"Brooklyn",300093
2024-09-27,"Manhattan",348126
2024-09-27,"Queens",202236
2024-09-30,"Bronx",108303
2024-09-30,"Brooklyn",320349
2024-09-30,"Manhattan",348584
2024-09-30,"Queens",207288
2024-10-01,"Bronx",117532
2024-10-01,"Brooklyn",354493
2024-10-01,"Manhattan",383439
2024-10-01,"Queens",225928
2024-10-02,"Bronx",113887
2024-10-02,"Brooklyn",342209
2024-10-02,"Manhattan",384432
2024-10-02,"Queens",218012
2024-10-03,"Bronx",91629
2024-10-03,"Brooklyn",281661
2024-10-03,"Manhattan",339084
2024-10-03,"Queens",190753
2024-10-04,"Bronx",88541
2024-10-04,"Brooklyn",251213
2024-10-04,"Manhattan",320683
2024-10-04,"Queens",182941
2024-10-07,"Bronx",114209
2024-10-07,"Brooklyn",330588
2024-10-07,"Manhattan",366600
2024-10-07,"Queens",215824
2024-10-08,"Bronx",120891
2024-10-08,"Brooklyn",353298
2024-10-08,"Manhattan",392737
2024-10-08,"Queens",229108
2024-10-09,"Bronx",122035
2024-10-09,"Brooklyn",360358
2024-10-09,"Manhattan",397602
2024-10-09,"Queens",230032
2024-10-10,"Bronx",119548
2024-10-10,"Brooklyn",352748
2024-10-10,"Manhattan",397581
2024-10-10,"Queens",228588
2024-10-11,"Bronx",106946
2024-10-11,"Brooklyn",302832
2024-10-11,"Manhattan",362284
2024-10-11,"Queens",209834
2024-10-14,"Bronx",70619
2024-10-14,"Brooklyn",223712
2024-10-14,"Manhattan",292476
2024-10-14,"Queens",159140
2024-10-15,"Bronx",119521
2024-10-15,"Brooklyn",354327
2024-10-15,"Manhattan",393688
2024-10-15,"Queens",226979
2024-10-16,"Bronx",121644
2024-10-16,"Brooklyn",357775
2024-10-16,"Manhattan",399006
2024-10-16,"Queens",230303
2024-10-17,"Bronx",120610
2024-10-17,"Brooklyn",347758
2024-10-17,"Manhattan",396004
2024-10-17,"Queens",227661
2024-10-18,"Bronx",111659
2024-10-18,"Brooklyn",313862
2024-10-18,"Manhattan",370885
2024-10-18,"Queens",216077
2024-10-21,"Bronx",116604
2024-10-21,"Brooklyn",331967
2024-10-21,"Manhattan",375290
2024-10-21,"Queens",216822
2024-10-22,"Bronx",121090
2024-10-22,"Brooklyn",354999
2024-10-22,"Manhattan",397962
2024-10-22,"Queens",227573
2024-10-23,"Bronx",122161
2024-10-23,"Brooklyn",354099
2024-10-23,"Manhattan",402539
2024-10-23,"Queens",229336
2024-10-24,"Bronx",119486
2024-10-24,"Brooklyn",346637
2024-10-24,"Manhattan",406669
2024-10-24,"Queens",226590
2024-10-25,"Bronx",110367
2024-10-25,"Brooklyn",309469
2024-10-25,"Manhattan",373840
